                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                 2.6545,                 2.4725,                 2.5933,                0.68583,                0.29568,                0.29334,                0.09716,                 2.8529,                  2.417,                 2.8578,              0.0010046,              0.0010046,              0.0010046
                     38,                 2.5425,                 2.4452,                 2.5302,                0.57181,                0.28571,                0.31143,                0.11045,                 2.6342,                 2.4185,                 2.6968,              0.0009928,              0.0009928,              0.0009928
                     39,                 2.6151,                 2.4418,                 2.5764,                0.55787,                 0.1746,                0.23875,                0.07174,                 3.0103,                 2.5007,                 2.9564,             0.00098101,             0.00098101,             0.00098101
                     40,                 2.5098,                 2.4375,                 2.5243,                0.58947,                 0.3174,                0.36217,                0.10906,                 2.8129,                  2.254,                 2.8589,             0.00096922,             0.00096922,             0.00096922
                     41,                 2.4503,                 2.4356,                 2.5572,                0.51144,                0.30044,                0.36779,                0.12149,                  2.882,                 2.1405,                 2.8719,             0.00095743,             0.00095743,             0.00095743
                     42,                 2.4035,                  2.315,                 2.4954,                0.45955,                0.46032,                0.41297,                0.15812,                 2.5499,                 1.9092,                 2.5901,             0.00094564,             0.00094564,             0.00094564
                     43,                 2.4264,                 2.3893,                 2.5043,                 0.4686,                0.46513,                 0.4171,                0.18323,                 2.3407,                 1.9014,                 2.4308,             0.00093385,             0.00093385,             0.00093385
                     44,                 2.3272,                 2.2715,                  2.399,                0.52049,                0.45908,                0.44602,                 0.1932,                 2.3062,                 2.0108,                 2.4205,             0.00092206,             0.00092206,             0.00092206
                     45,                 2.3343,                 2.2217,                 2.3817,                0.50221,                0.35419,                0.45218,                0.18714,                 2.3501,                 2.0131,                 2.4364,             0.00091027,             0.00091027,             0.00091027
                     46,                 2.3915,                 2.2695,                 2.3973,                 0.6246,                0.29821,                0.45586,                0.16211,                 2.5259,                 2.0426,                 2.5152,             0.00089848,             0.00089848,             0.00089848
                     47,                 2.4029,                 2.2398,                 2.4184,                0.51378,                0.30389,                0.43833,                0.17019,                 2.4194,                 2.0525,                 2.4772,             0.00088669,             0.00088669,             0.00088669
                     48,                 2.3174,                 2.1544,                 2.3825,                0.48498,                0.48917,                0.45495,                  0.177,                 2.3435,                 2.1735,                 2.4334,             0.00087491,             0.00087491,             0.00087491
                     49,                 2.2774,                 2.0495,                 2.3316,                0.41939,                0.48105,                0.45628,                0.16922,                 2.4126,                 2.1623,                  2.445,             0.00086312,             0.00086312,             0.00086312
                     50,                 2.3835,                 2.2277,                 2.3957,                0.63595,                0.44406,                0.50326,                0.20663,                 2.2651,                 2.0271,                 2.3447,             0.00085133,             0.00085133,             0.00085133
                     51,                 2.1704,                 2.0542,                 2.3084,                0.64418,                0.59559,                0.59013,                0.27932,                 2.0965,                 1.7583,                 2.2341,             0.00083954,             0.00083954,             0.00083954
                     52,                 2.1694,                 2.1072,                 2.3381,                0.56728,                0.48351,                0.55256,                0.26253,                 2.0721,                 1.6678,                 2.2312,             0.00082775,             0.00082775,             0.00082775
                     53,                 2.1092,                 2.0809,                 2.3041,                 0.5869,                 0.4874,                0.52445,                0.23293,                 2.1688,                 1.7055,                 2.3346,             0.00081596,             0.00081596,             0.00081596
                     54,                 2.1956,                 2.1038,                 2.3164,                0.65712,                0.47103,                0.60611,                0.30115,                 2.0176,                  1.626,                 2.2514,             0.00080417,             0.00080417,             0.00080417
                     55,                 2.1211,                 1.9566,                 2.2443,                0.68366,                0.47619,                0.62522,                0.32961,                 1.8898,                  1.535,                 2.1003,             0.00079238,             0.00079238,             0.00079238
                     56,                 2.1067,                 2.0573,                 2.2559,                0.67149,                0.53968,                 0.5878,                0.29245,                 2.0094,                 1.6321,                 2.1296,             0.00078059,             0.00078059,             0.00078059
                     57,                 2.0612,                 1.9537,                 2.2414,                0.64289,                0.56765,                0.63397,                0.33561,                 1.9305,                 1.5783,                 2.0917,              0.0007688,              0.0007688,              0.0007688
                     58,                 2.0119,                 1.8697,                 2.1351,                 0.7817,                0.53961,                0.65419,                0.37755,                 1.8461,                  1.552,                 2.0322,             0.00075701,             0.00075701,             0.00075701
                     59,                 2.0481,                 1.8754,                 2.1729,                0.74396,                0.61291,                0.68219,                0.38334,                 1.8273,                 1.5393,                 2.0182,             0.00074522,             0.00074522,             0.00074522
                     60,                 2.0316,                 1.8563,                 2.1667,                0.74787,                0.69462,                0.71699,                0.38184,                 1.7847,                 1.3945,                 1.9441,             0.00073343,             0.00073343,             0.00073343
                     61,                 2.0431,                 1.8792,                 2.1432,                0.74318,                0.64153,                0.72423,                0.40457,                 1.7226,                 1.3933,                 1.8975,             0.00072164,             0.00072164,             0.00072164
                     62,                 1.9346,                 1.7542,                 2.1197,                0.70706,                0.73704,                0.72721,                 0.4456,                 1.6418,                 1.3864,                 1.8546,             0.00070986,             0.00070986,             0.00070986
                     63,                 1.9139,                 1.7726,                 2.0851,                0.72328,                0.74268,                0.75303,                0.44578,                 1.7255,                 1.4038,                 1.8913,             0.00069807,             0.00069807,             0.00069807
                     64,                 1.9272,                 1.7995,                  2.083,                0.81383,                0.66952,                0.77821,                0.46793,                 1.6687,                 1.3902,                  1.881,             0.00068628,             0.00068628,             0.00068628
                     65,                 1.8866,                 1.6759,                 2.0673,                0.76442,                0.70902,                0.75575,                0.47089,                 1.6061,                 1.3756,                 1.8768,             0.00067449,             0.00067449,             0.00067449
                     66,                 1.8036,                 1.6567,                 2.0467,                0.81773,                0.62292,                0.73682,                0.43698,                 1.6922,                  1.375,                 1.9485,              0.0006627,              0.0006627,              0.0006627
                     67,                 1.9148,                  1.798,                 2.1248,                0.75387,                0.67017,                0.73038,                 0.4085,                 1.7372,                 1.3434,                 1.9631,             0.00065091,             0.00065091,             0.00065091
